Episode,Reward,Value_Loss,Policy_Loss,KL,Accepted
1,11.0,46.319129943847656,2.167441692790817e-08,0.0026181216817349195,1
2,40.0,423.79522705078125,1.4305115314527939e-07,0.0035266070626676083,1
3,25.0,188.57835388183594,3.33786012163273e-08,0.0032232957892119884,1
4,29.0,242.03469848632812,1.0687729457004025e-07,0.004122506361454725,1
5,16.0,84.29142761230469,-8.195638656616211e-08,0.004701037425547838,1
6,15.0,73.20930480957031,4.27166604310969e-08,0.00440066447481513,1
7,17.0,91.01036071777344,7.0123111761688506e-09,0.0033203610219061375,1
8,28.0,221.70852661132812,-5.3218432327639675e-08,0.0033297338522970676,1
9,22.0,141.9252471923828,1.3546510579942606e-08,0.0046446737833321095,1
10,15.0,70.60797882080078,-2.4835268064293814e-08,0.002351168543100357,1
11,14.0,60.976783752441406,-3.0919909477233887e-07,0.004293448757380247,1
12,32.0,271.0907287597656,2.2351741790771484e-08,0.0018589204410091043,1
13,85.0,1331.14794921875,6.135772423476737e-08,0.003570058150216937,1
14,113.0,1968.7271728515625,-7.17365651325963e-08,0.003933404106646776,1
15,71.0,1009.3619995117188,-1.5782637774464092e-07,0.003633105428889394,1
16,83.0,1271.952880859375,-9.766544195599636e-08,0.0035352350678294897,1
17,33.0,278.00518798828125,-6.502325078372451e-08,0.004537106025964022,1
18,78.0,1151.1256103515625,1.1386015330572263e-07,0.002415706403553486,1
19,92.0,1462.002197265625,2.708124213768315e-07,0.002105665160343051,1
20,43.0,430.6579895019531,2.9109244792380196e-08,0.004381940234452486,1
21,267.0,4783.56982421875,9.286716107226312e-08,0.0023010135628283024,1
22,128.0,2254.395751953125,-1.30385160446167e-07,0.002311142161488533,1
23,191.0,3531.190185546875,2.995835401975455e-08,0.003930374048650265,1
24,146.0,2627.2314453125,4.2458104587694834e-08,0.0032524962443858385,1
25,58.0,693.1299438476562,9.865596695135537e-08,0.0034960799384862185,1
26,240.0,4334.73681640625,-1.6142924152973137e-07,0.004027281887829304,1
27,486.0,6706.83642578125,-1.3049246661012148e-07,0.004229718819260597,1
28,318.0,5328.81982421875,-8.359645420341622e-08,0.003197866026312113,1
29,144.0,2543.007568359375,-2.7318796114172983e-08,0.003916093613952398,1
30,242.0,4314.0498046875,4.827483479630246e-08,0.0031761773861944675,1
31,183.0,3300.16162109375,9.640969977908753e-08,0.0031669933814555407,1
32,262.0,4577.63037109375,-6.961458609566762e-08,0.0034363013692200184,1
33,43.0,386.7138366699219,-1.2475390498423167e-08,0.003820635611191392,1
34,102.0,1580.5220947265625,-1.285590371935541e-07,0.0018413885263726115,1
35,184.0,3271.7822265625,1.0754751400554596e-07,0.0025345701724290848,1
36,211.0,3735.443115234375,-1.8870096596401709e-07,0.002763381227850914,1
37,13.0,26.22852897644043,2.2924863785078742e-08,0.00323994061909616,1
38,163.0,2836.37646484375,1.6089597210111606e-08,0.0025278532411903143,1
39,151.0,2581.405029296875,-6.19730400330809e-08,0.0034642452374100685,1
40,149.0,2532.310302734375,4.120321150935524e-08,0.0036321638617664576,1
41,143.0,2395.118896484375,-4.1681570195351014e-08,0.004164373502135277,1
42,170.0,2917.799072265625,-1.0553528539958279e-07,0.0025099562481045723,1
43,50.0,464.791259765625,-1.23977656585339e-07,0.004292123485356569,1
44,147.0,2445.427734375,-4.946780052250688e-08,0.0038523597177118063,1
45,164.0,2763.3779296875,-6.687350406764381e-08,0.0031280252151191235,1
46,154.0,2556.323486328125,2.554484801464696e-08,0.003649084595963359,1
47,175.0,2944.017822265625,-7.697514092797064e-08,0.0033828106243163347,1
48,184.0,3088.5849609375,-1.2763167944740417e-07,0.004050430376082659,1
49,185.0,3094.283203125,5.9282456277287565e-08,0.003996999002993107,1
50,195.0,3253.275634765625,1.0025807029023781e-07,0.0031433936674147844,1
51,167.0,2733.93310546875,7.85210918508028e-09,0.003430304815992713,1
52,233.0,3831.178466796875,1.2790695791409235e-07,0.003470671596005559,1
53,162.0,2614.13916015625,5.518948498206555e-08,0.004012253601104021,1
54,177.0,2871.969970703125,1.6029271421302838e-07,0.003764491993933916,1
55,186.0,3018.7841796875,-1.9227304193236705e-08,0.003398280590772629,1
56,189.0,3058.84423828125,-1.293010853942178e-07,0.003049558959901333,1
57,217.0,3496.720947265625,5.163904859273316e-08,0.003707152558490634,1
58,182.0,2900.81396484375,1.368941866530804e-07,0.003066764445975423,1
59,225.0,3594.92529296875,2.2252400810884865e-08,0.003233077470213175,1
60,235.0,3724.043701171875,-1.27325662901967e-07,0.0020436644554138184,1
61,205.0,3244.94091796875,2.093431383798361e-08,0.0033647632226347923,1
62,190.0,2983.25732421875,1.4430598049841592e-08,0.0035504843108356,1
63,223.0,3501.94677734375,4.811137266358401e-09,0.0030176567379385233,1
64,189.0,2941.2099609375,-1.0785602455598564e-07,0.003494075033813715,1
65,213.0,3319.495361328125,4.141543286095839e-08,0.0032561873085796833,1
66,135.0,1935.0126953125,4.238552619995062e-08,0.003805829444900155,1
67,177.0,2696.187744140625,2.2898959173289768e-08,0.0033973264507949352,1
68,206.0,3161.0322265625,-1.7360576975988806e-08,0.0032394661102443933,1
69,188.0,2856.790771484375,3.170459805801329e-08,0.003542874474078417,1
70,188.0,2840.854736328125,-2.029094225974859e-08,0.0039093936793506145,1
71,192.0,2892.915283203125,9.996195871053715e-08,0.0040897480212152,1
72,132.0,1816.2054443359375,-1.2372478863653669e-07,0.003676961874589324,1
73,249.0,3708.66455078125,-9.718669247149592e-08,0.0035744463093578815,1
74,163.0,2363.585205078125,9.94629658634949e-08,0.004005167633295059,1
75,193.0,2864.447509765625,3.397155978746014e-08,0.0037093968130648136,1
76,78.0,767.7750854492188,-1.3220004291270016e-07,0.0032367880921810865,1
77,500.0,5739.5341796875,-2.202987730015593e-07,0.0032930660527199507,1
78,228.0,3361.54833984375,1.3071193905034306e-07,0.003764899680390954,1
79,500.0,5701.3291015625,-1.8882751362525596e-07,0.0036739069037139416,1
80,500.0,5684.20849609375,8.773803727990526e-08,0.002965269610285759,1
81,500.0,5670.548828125,1.0824203400261467e-07,0.003409421071410179,1
82,500.0,5653.2666015625,9.346008056354549e-08,0.004069361835718155,1
83,500.0,5635.3271484375,-8.79764527894622e-08,0.0029085525311529636,1
84,309.0,4253.02587890625,-2.0832690950101096e-07,0.003221092512831092,1
85,319.0,4343.32373046875,-1.2668323279285687e-07,0.002644066931679845,1
86,322.0,4362.796875,-2.0102685027723055e-07,0.0031095680315047503,1
