reward,length,timestamp
16.0,16,1757604168.4904075
23.0,23,1757604168.5120182
29.0,29,1757604168.5369792
24.0,24,1757604168.5581496
14.0,14,1757604168.5694463
13.0,13,1757604168.5797431
52.0,52,1757604168.6190915
16.0,16,1757604168.63022
17.0,17,1757604168.642425
52.0,52,1757604168.6799355
15.0,15,1757604168.6911886
15.0,15,1757604168.7024782
17.0,17,1757604168.7148376
38.0,38,1757604168.7430003
11.0,11,1757604168.7507122
16.0,16,1757604168.7628038
43.0,43,1757604168.794164
19.0,19,1757604168.8078008
15.0,15,1757604168.8181822
18.0,18,1757604168.831347
25.0,25,1757604168.8489473
23.0,23,1757604168.8650398
21.0,21,1757604168.8797982
10.0,10,1757604168.8869092
36.0,36,1757604168.9119608
13.0,13,1757604168.921787
16.0,16,1757604168.9334376
17.0,17,1757604168.9456913
17.0,17,1757604168.9576142
19.0,19,1757604168.9737282
12.0,12,1757604168.9892602
24.0,24,1757604169.0230346
37.0,37,1757604169.0605953
11.0,11,1757604169.069113
25.0,25,1757604169.0867207
22.0,22,1757604169.1027822
32.0,32,1757604169.1257384
61.0,61,1757604169.1699932
38.0,38,1757604169.1972337
11.0,11,1757604169.2049243
53.0,53,1757604169.2429328
15.0,15,1757604169.253684
29.0,29,1757604169.2745829
62.0,62,1757604169.3185177
42.0,42,1757604169.3486269
11.0,11,1757604169.3565521
17.0,17,1757604169.3692074
11.0,11,1757604169.3768897
25.0,25,1757604169.3944952
25.0,25,1757604169.4135919
20.0,20,1757604169.4281445
33.0,33,1757604169.4512699
11.0,11,1757604169.4592104
18.0,18,1757604169.4717126
11.0,11,1757604169.479723
38.0,38,1757604169.506764
12.0,12,1757604169.5150356
13.0,13,1757604169.524493
17.0,17,1757604169.5368257
12.0,12,1757604169.5456097
21.0,21,1757604169.562816
30.0,30,1757604169.5853856
14.0,14,1757604169.5952091
16.0,16,1757604169.6070957
13.0,13,1757604169.6162908
18.0,18,1757604169.629486
12.0,12,1757604169.638165
23.0,23,1757604169.6542351
28.0,28,1757604169.6744316
18.0,18,1757604169.687379
21.0,21,1757604169.7024724
22.0,22,1757604169.718663
13.0,13,1757604169.7284088
46.0,46,1757604169.7614157
22.0,22,1757604169.7769418
9.0,9,1757604169.7833638
17.0,17,1757604169.7958622
16.0,16,1757604169.808218
16.0,16,1757604169.8194811
30.0,30,1757604169.8406684
18.0,18,1757604169.8539035
14.0,14,1757604169.8636851
57.0,57,1757604169.9045036
44.0,44,1757604169.936051
19.0,19,1757604169.9495306
19.0,19,1757604169.9629257
22.0,22,1757604169.9783835
25.0,25,1757604169.9963052
77.0,77,1757604171.8460655
21.0,21,1757604171.8686087
29.0,29,1757604171.8899503
48.0,48,1757604171.9251688
17.0,17,1757604171.9370048
19.0,19,1757604171.9507773
17.0,17,1757604171.963389
12.0,12,1757604171.9719698
59.0,59,1757604172.0142953
28.0,28,1757604172.0354211
43.0,43,1757604172.0672455
16.0,16,1757604172.0785072
14.0,14,1757604172.0898018
54.0,54,1757604172.1316595
65.0,65,1757604172.1784008
32.0,32,1757604172.2010388
16.0,16,1757604172.2124813
53.0,53,1757604172.249897
22.0,22,1757604172.265383
33.0,33,1757604172.2891111
40.0,40,1757604172.3172946
22.0,22,1757604172.3334687
17.0,17,1757604172.34538
17.0,17,1757604172.358307
71.0,71,1757604172.4090583
18.0,18,1757604172.4221642
15.0,15,1757604172.4327943
31.0,31,1757604172.4547257
41.0,41,1757604172.485121
20.0,20,1757604172.4995198
29.0,29,1757604172.5202682
28.0,28,1757604172.5399454
22.0,22,1757604172.5553443
37.0,37,1757604172.5820947
24.0,24,1757604172.6007552
15.0,15,1757604172.6115046
33.0,33,1757604172.635067
19.0,19,1757604172.6484046
19.0,19,1757604172.6618705
26.0,26,1757604172.680685
21.0,21,1757604172.696743
15.0,15,1757604172.7073388
30.0,30,1757604172.7304554
26.0,26,1757604172.7485914
12.0,12,1757604172.7570984
13.0,13,1757604172.7661989
29.0,29,1757604172.7874038
28.0,28,1757604172.8077662
16.0,16,1757604172.8198464
27.0,27,1757604172.840376
22.0,22,1757604172.855973
39.0,39,1757604172.8835392
16.0,16,1757604172.8949912
32.0,32,1757604172.9187255
29.0,29,1757604172.9396462
25.0,25,1757604172.9575958
20.0,20,1757604172.9715915
15.0,15,1757604172.982713
23.0,23,1757604172.999081
64.0,64,1757604173.044917
23.0,23,1757604173.0623534
55.0,55,1757604173.1039422
26.0,26,1757604173.1225579
22.0,22,1757604173.1384943
63.0,63,1757604173.1835845
14.0,14,1757604173.1936882
27.0,27,1757604173.2139173
38.0,38,1757604173.2418659
18.0,18,1757604173.2551882
70.0,70,1757604174.955364
33.0,33,1757604174.9872694
32.0,32,1757604175.0168447
18.0,18,1757604175.0328157
23.0,23,1757604175.0521743
23.0,23,1757604175.0691845
82.0,82,1757604175.1282372
90.0,90,1757604175.1928608
43.0,43,1757604175.2244842
53.0,53,1757604175.2622242
83.0,83,1757604175.321163
36.0,36,1757604175.3482296
31.0,31,1757604175.3718493
20.0,20,1757604175.3869636
51.0,51,1757604175.423307
31.0,31,1757604175.445676
36.0,36,1757604175.4714391
89.0,89,1757604175.537297
32.0,32,1757604175.5608523
58.0,58,1757604175.601795
14.0,14,1757604175.6132095
68.0,68,1757604175.6647768
47.0,47,1757604175.6982486
42.0,42,1757604175.728769
54.0,54,1757604175.7685454
58.0,58,1757604175.8096473
36.0,36,1757604175.835229
109.0,109,1757604175.9142792
170.0,170,1757604176.0396519
32.0,32,1757604176.0692987
70.0,70,1757604176.135014
34.0,34,1757604176.1601143
50.0,50,1757604176.1959293
29.0,29,1757604176.2169838
121.0,121,1757604176.3038344
24.0,24,1757604176.3213174
13.0,13,1757604176.330719
60.0,60,1757604176.3736236
49.0,49,1757604176.4091823
28.0,28,1757604176.4294994
14.0,14,1757604176.4396565
32.0,32,1757604176.4627903
77.0,77,1757604178.1871622
49.0,49,1757604178.2336502
29.0,29,1757604178.2577543
48.0,48,1757604178.2921844
28.0,28,1757604178.313716
196.0,196,1757604178.4569395
61.0,61,1757604178.5003414
83.0,83,1757604178.5792997
68.0,68,1757604178.6416395
115.0,115,1757604178.7299738
54.0,54,1757604178.768155
72.0,72,1757604178.8199384
27.0,27,1757604178.8395603
23.0,23,1757604178.855906
66.0,66,1757604178.9023912
57.0,57,1757604178.9443903
28.0,28,1757604178.9646332
27.0,27,1757604178.9836764
69.0,69,1757604179.0345604
24.0,24,1757604179.0517461
21.0,21,1757604179.0666614
66.0,66,1757604179.113959
