reward,length,timestamp
22.0,22,1757605283.4433234
21.0,21,1757605283.4617236
38.0,38,1757605283.4968998
38.0,38,1757605283.5295658
42.0,42,1757605283.5676064
19.0,19,1757605283.5828502
37.0,37,1757605283.6168025
28.0,28,1757605283.639389
28.0,28,1757605283.663747
44.0,44,1757605283.7009299
12.0,12,1757605283.7101812
28.0,28,1757605283.734795
15.0,15,1757605283.7473078
49.0,49,1757605283.789522
19.0,19,1757605283.8050852
15.0,15,1757605283.818386
19.0,19,1757605283.8372774
30.0,30,1757605283.8634257
10.0,10,1757605283.8716128
18.0,18,1757605283.8886566
27.0,27,1757605283.9106164
11.0,11,1757605283.9191039
45.0,45,1757605283.9577217
28.0,28,1757605283.9836001
29.0,29,1757605284.0095708
52.0,52,1757605284.057223
15.0,15,1757605284.0701354
26.0,26,1757605284.0916421
23.0,23,1757605284.1123958
15.0,15,1757605284.1257164
52.0,52,1757605284.17087
53.0,53,1757605284.2162464
52.0,52,1757605284.2583566
29.0,29,1757605284.2840872
24.0,24,1757605284.3059275
41.0,41,1757605284.340693
25.0,25,1757605284.361799
35.0,35,1757605284.3916354
53.0,53,1757605284.4377468
22.0,22,1757605284.4555063
21.0,21,1757605284.4725602
40.0,40,1757605284.5067234
40.0,40,1757605284.5416002
18.0,18,1757605284.5576723
48.0,48,1757605284.602928
33.0,33,1757605284.6307752
57.0,57,1757605284.6788023
92.0,92,1757605284.7586515
25.0,25,1757605284.779952
30.0,30,1757605284.806763
56.0,56,1757605284.854039
50.0,50,1757605284.896218
34.0,34,1757605284.9266841
46.0,46,1757605284.966358
62.0,62,1757605285.021019
37.0,37,1757605285.0516777
24.0,24,1757605285.073545
38.0,38,1757605285.1055744
29.0,29,1757605285.1314166
34.0,34,1757605285.161789
41.0,41,1757605285.1985645
67.0,67,1757605285.2591088
54.0,54,1757605285.3051906
155.0,155,1757605285.442596
35.0,35,1757605285.4742355
45.0,45,1757605285.5142992
80.0,80,1757605285.5838804
71.0,71,1757605285.6490324
85.0,85,1757605285.719243
36.0,36,1757605285.7516084
67.0,67,1757605285.8073163
40.0,40,1757605285.8414521
35.0,35,1757605285.8728848
42.0,42,1757605285.9105036
87.0,87,1757605285.987037
63.0,63,1757605286.0422118
66.0,66,1757605286.0988526
26.0,26,1757605286.121178
40.0,40,1757605286.1553946
19.0,19,1757605286.1720684
42.0,42,1757605286.2076473
20.0,20,1757605286.2244124
55.0,55,1757605286.2723994
34.0,34,1757605286.3028786
48.0,48,1757605286.3441584
30.0,30,1757605286.3697462
27.0,27,1757605286.3917773
58.0,58,1757605286.442518
56.0,56,1757605286.49383
60.0,60,1757605286.5443447
105.0,105,1757605286.652333
65.0,65,1757605286.7178206
48.0,48,1757605286.7592137
33.0,33,1757605286.7915003
41.0,41,1757605286.829475
79.0,79,1757605286.903799
31.0,31,1757605286.9325922
41.0,41,1757605286.9709263
87.0,87,1757605287.0500386
69.0,69,1757605287.1120408
49.0,49,1757605287.1529543
33.0,33,1757605287.1822486
25.0,25,1757605287.2039068
44.0,44,1757605287.2429316
26.0,26,1757605287.2643433
59.0,59,1757605287.3176007
74.0,74,1757605287.385836
45.0,45,1757605287.4273152
148.0,148,1757605287.55591
28.0,28,1757605287.5809224
30.0,30,1757605287.6064675
55.0,55,1757605287.6536524
32.0,32,1757605287.6790226
52.0,52,1757605287.7228827
66.0,66,1757605287.778194
127.0,127,1757605287.8861609
147.0,147,1757605288.014014
96.0,96,1757605288.0950935
205.0,205,1757605288.2689488
41.0,41,1757605288.302699
50.0,50,1757605288.3459144
86.0,86,1757605288.4160056
45.0,45,1757605288.4536939
165.0,165,1757605288.5915134
121.0,121,1757605288.6939838
165.0,165,1757605288.8321693
121.0,121,1757605288.9348068
135.0,135,1757605289.0501738
122.0,122,1757605289.1539621
112.0,112,1757605289.2458248
163.0,163,1757605289.3844311
181.0,181,1757605289.5377162
205.0,205,1757605289.7076154
73.0,73,1757605289.7690334
169.0,169,1757605289.911433
143.0,143,1757605290.0302596
83.0,83,1757605290.1818926
500.0,500,1757605290.6033068
121.0,121,1757605290.7070434
62.0,62,1757605290.7586048
97.0,97,1757605290.8423579
113.0,113,1757605290.941667
144.0,144,1757605291.0752506
137.0,137,1757605291.2164516
201.0,201,1757605291.40816
139.0,139,1757605291.5376318
175.0,175,1757605291.7079022
83.0,83,1757605291.7961998
