reward,length,timestamp
36.0,36,1757604090.9673605
53.0,53,1757604091.0157166
32.0,32,1757604091.0461762
47.0,47,1757604091.0861096
79.0,79,1757604091.1540558
24.0,24,1757604091.174648
31.0,31,1757604091.2016876
33.0,33,1757604091.23128
15.0,15,1757604091.2454996
45.0,45,1757604091.2838018
18.0,18,1757604091.3005557
28.0,28,1757604091.325476
20.0,20,1757604091.3432488
33.0,33,1757604091.3698847
16.0,16,1757604091.3839269
65.0,65,1757604091.441155
19.0,19,1757604091.4581265
25.0,25,1757604091.4797115
20.0,20,1757604091.4973128
60.0,60,1757604091.5492527
14.0,14,1757604091.5619788
144.0,144,1757604091.6879544
50.0,50,1757604091.7326934
64.0,64,1757604091.7885125
33.0,33,1757604091.8151057
17.0,17,1757604091.831517
51.0,51,1757604091.876146
50.0,50,1757604091.919741
82.0,82,1757604091.9950604
37.0,37,1757604092.0312896
69.0,69,1757604092.095197
40.0,40,1757604092.1310928
66.0,66,1757604092.19665
57.0,57,1757604092.252032
81.0,81,1757604092.3303492
27.0,27,1757604092.3554883
44.0,44,1757604092.3926902
30.0,30,1757604092.4201355
73.0,73,1757604092.4870372
38.0,38,1757604092.5233347
47.0,47,1757604092.562828
53.0,53,1757604092.6095316
51.0,51,1757604092.6542423
63.0,63,1757604092.7078354
24.0,24,1757604092.7317255
57.0,57,1757604092.7852454
38.0,38,1757604092.8172255
64.0,64,1757604092.8726761
64.0,64,1757604092.9285996
28.0,28,1757604092.9527442
43.0,43,1757604093.0059114
51.0,51,1757604093.0616264
36.0,36,1757604093.0926278
48.0,48,1757604093.1358912
40.0,40,1757604093.1745892
84.0,84,1757604093.2519724
54.0,54,1757604093.303579
46.0,46,1757604093.346221
162.0,162,1757604093.4989958
48.0,48,1757604093.5439954
63.0,63,1757604093.6017041
52.0,52,1757604093.6502454
65.0,65,1757604093.7126577
58.0,58,1757604093.7630167
49.0,49,1757604093.807123
35.0,35,1757604093.8371994
127.0,127,1757604093.9531648
40.0,40,1757604093.9884627
43.0,43,1757604094.0256505
84.0,84,1757604094.099784
121.0,121,1757604094.20817
73.0,73,1757604094.272757
73.0,73,1757604094.3377063
156.0,156,1757604094.4773796
30.0,30,1757604094.503801
42.0,42,1757604094.5428932
40.0,40,1757604094.5811741
55.0,55,1757604094.6314862
48.0,48,1757604094.6733255
41.0,41,1757604094.7084532
54.0,54,1757604094.7552183
87.0,87,1757604094.8291178
53.0,53,1757604094.8765597
114.0,114,1757604094.9800675
49.0,49,1757604095.0275285
61.0,61,1757604095.081697
83.0,83,1757604095.1526117
124.0,124,1757604095.2587786
97.0,97,1757604095.3413312
75.0,75,1757604095.406777
143.0,143,1757604095.533637
158.0,158,1757604095.6701329
123.0,123,1757604095.780405
234.0,234,1757604096.0052292
163.0,163,1757604096.1490524
61.0,61,1757604096.2037556
110.0,110,1757604096.3076022
111.0,111,1757604096.4130638
199.0,199,1757604096.5957694
94.0,94,1757604096.6783977
108.0,108,1757604096.7782884
149.0,149,1757604096.9162126
152.0,152,1757604097.049705
145.0,145,1757604097.1796045
255.0,255,1757604097.4140418
126.0,126,1757604097.5266523
122.0,122,1757604097.6339219
128.0,128,1757604097.7458844
135.0,135,1757604097.8777578
140.0,140,1757604098.0391057
99.0,99,1757604098.1317763
201.0,201,1757604098.325225
229.0,229,1757604098.5311177
121.0,121,1757604098.6406138
166.0,166,1757604098.8001447
132.0,132,1757604098.9186447
314.0,314,1757604099.2515574
129.0,129,1757604099.377791
267.0,267,1757604099.6409044
239.0,239,1757604099.9254458
134.0,134,1757604100.0778606
195.0,195,1757604100.3016748
177.0,177,1757604100.509727
203.0,203,1757604100.7497306
167.0,167,1757604100.9352062
199.0,199,1757604101.1598482
287.0,287,1757604101.567736
174.0,174,1757604101.865619
500.0,500,1757604102.7748394
500.0,500,1757604103.6272988
500.0,500,1757604104.4998183
500.0,500,1757604105.4074569
500.0,500,1757604106.254264
500.0,500,1757604107.108092
500.0,500,1757604107.9633336
385.0,385,1757604108.621313
497.0,497,1757604109.511357
323.0,323,1757604110.070241
500.0,500,1757604110.944263
354.0,354,1757604111.5400493
138.0,138,1757604111.7732995
142.0,142,1757604112.0209987
139.0,139,1757604112.251779
296.0,296,1757604112.7695138
122.0,122,1757604112.9740453
138.0,138,1757604113.2045202
102.0,102,1757604113.3809505
123.0,123,1757604113.6187649
358.0,358,1757604114.2165277
174.0,174,1757604114.5232654
194.0,194,1757604114.8403568
157.0,157,1757604115.1227393
244.0,244,1757604115.6226892
104.0,104,1757604115.7963495
138.0,138,1757604116.0424032
110.0,110,1757604116.2360566
81.0,81,1757604116.3725054
63.0,63,1757604116.4732807
62.0,62,1757604116.5769653
76.0,76,1757604116.702772
145.0,145,1757604116.9638546
115.0,115,1757604117.1712124
158.0,158,1757604117.4426367
90.0,90,1757604117.5891042
75.0,75,1757604117.722495
101.0,101,1757604117.9312706
326.0,326,1757604118.4888384
229.0,229,1757604118.8996587
162.0,162,1757604119.1785555
249.0,249,1757604119.6139712
359.0,359,1757604120.208009
208.0,208,1757604120.571131
113.0,113,1757604120.766504
61.0,61,1757604120.8696427
88.0,88,1757604121.0207946
50.0,50,1757604121.1048298
83.0,83,1757604121.251993
78.0,78,1757604121.3956323
48.0,48,1757604121.4899487
31.0,31,1757604121.5424407
82.0,82,1757604121.6750913
37.0,37,1757604121.738329
69.0,69,1757604121.848969
23.0,23,1757604121.8881075
47.0,47,1757604121.965465
62.0,62,1757604122.0788884
53.0,53,1757604122.1684413
57.0,57,1757604122.2739382
44.0,44,1757604122.356814
106.0,106,1757604122.528157
61.0,61,1757604122.624992
46.0,46,1757604122.702055
74.0,74,1757604122.8252661
34.0,34,1757604122.887939
65.0,65,1757604123.0052829
89.0,89,1757604123.1706266
42.0,42,1757604123.2439373
47.0,47,1757604123.3195267
37.0,37,1757604123.3800714
52.0,52,1757604123.4609902
47.0,47,1757604123.5410943
52.0,52,1757604123.6253955
39.0,39,1757604123.6935232
57.0,57,1757604123.7940533
49.0,49,1757604123.8884556
56.0,56,1757604123.9883368
63.0,63,1757604124.110661
41.0,41,1757604124.1771436
36.0,36,1757604124.2353275
36.0,36,1757604124.294335
50.0,50,1757604124.376481
36.0,36,1757604124.440087
58.0,58,1757604124.5343587
55.0,55,1757604124.6317487
89.0,89,1757604124.7915459
75.0,75,1757604124.9330847
74.0,74,1757604125.0577624
65.0,65,1757604125.169126
103.0,103,1757604125.3307538
113.0,113,1757604125.5631282
164.0,164,1757604125.8581495
94.0,94,1757604126.0126138
219.0,219,1757604126.388452
131.0,131,1757604126.6205053
105.0,105,1757604126.8027534
122.0,122,1757604127.0033128
86.0,86,1757604127.1447542
199.0,199,1757604127.5139115
137.0,137,1757604127.7409933
147.0,147,1757604127.9891405
93.0,93,1757604128.1538818
97.0,97,1757604128.3277245
107.0,107,1757604128.525151
73.0,73,1757604128.6441417
111.0,111,1757604128.8320544
66.0,66,1757604128.9446492
66.0,66,1757604129.062569
66.0,66,1757604129.1970503
45.0,45,1757604129.2866256
38.0,38,1757604129.3462863
53.0,53,1757604129.4342186
32.0,32,1757604129.4861739
52.0,52,1757604129.5749657
49.0,49,1757604129.651641
29.0,29,1757604129.7025397
59.0,59,1757604129.8036766
34.0,34,1757604129.8644254
31.0,31,1757604129.9195466
39.0,39,1757604129.990952
33.0,33,1757604130.0449295
26.0,26,1757604130.0965488
29.0,29,1757604130.1452498
18.0,18,1757604130.179289
13.0,13,1757604130.2026012
20.0,20,1757604130.2347124
19.0,19,1757604130.2627888
21.0,21,1757604130.3015099
19.0,19,1757604130.3301973
16.0,16,1757604130.3610148
20.0,20,1757604130.3941936
17.0,17,1757604130.420729
17.0,17,1757604130.4483292
21.0,21,1757604130.4854934
20.0,20,1757604130.517844
12.0,12,1757604130.5359726
15.0,15,1757604130.5610843
20.0,20,1757604130.5974555
12.0,12,1757604130.6165376
14.0,14,1757604130.6414046
13.0,13,1757604130.6661513
13.0,13,1757604130.6855092
17.0,17,1757604130.7179916
22.0,22,1757604130.7544599
17.0,17,1757604130.7875514
16.0,16,1757604130.8151836
12.0,12,1757604130.8347013
11.0,11,1757604130.8537815
14.0,14,1757604130.8791168
15.0,15,1757604130.9079466
16.0,16,1757604130.9367568
16.0,16,1757604130.9689434
13.0,13,1757604130.9930644
10.0,10,1757604131.0109897
12.0,12,1757604131.0348692
15.0,15,1757604131.061465
13.0,13,1757604131.079804
24.0,24,1757604131.119296
12.0,12,1757604131.1368172
12.0,12,1757604131.162539
13.0,13,1757604131.1822984
13.0,13,1757604131.206235
14.0,14,1757604131.230431
10.0,10,1757604131.2469616
14.0,14,1757604131.2706103
11.0,11,1757604131.2880194
9.0,9,1757604131.303775
10.0,10,1757604131.320539
10.0,10,1757604131.3378477
10.0,10,1757604131.3544855
10.0,10,1757604131.3705587
9.0,9,1757604131.3831193
10.0,10,1757604131.3989978
12.0,12,1757604131.421386
10.0,10,1757604131.437543
12.0,12,1757604131.456608
12.0,12,1757604131.480635
11.0,11,1757604131.4989634
13.0,13,1757604131.5189412
16.0,16,1757604131.5499666
15.0,15,1757604131.5759873
13.0,13,1757604131.5958962
13.0,13,1757604131.6213963
12.0,12,1757604131.6398835
11.0,11,1757604131.6598518
11.0,11,1757604131.6830957
10.0,10,1757604131.7008202
16.0,16,1757604131.7285376
13.0,13,1757604131.7493353
11.0,11,1757604131.7732937
15.0,15,1757604131.800517
15.0,15,1757604131.8270235
14.0,14,1757604131.8507805
15.0,15,1757604131.8778098
12.0,12,1757604131.901516
14.0,14,1757604131.9266913
11.0,11,1757604131.9444523
16.0,16,1757604131.9702032
13.0,13,1757604131.992818
14.0,14,1757604132.0127332
16.0,16,1757604132.0431542
14.0,14,1757604132.0651946
12.0,12,1757604132.087073
12.0,12,1757604132.1063495
11.0,11,1757604132.1235693
11.0,11,1757604132.1451848
9.0,9,1757604132.156134
10.0,10,1757604132.1721647
13.0,13,1757604132.195345
13.0,13,1757604132.2180536
16.0,16,1757604132.244205
12.0,12,1757604132.2623057
14.0,14,1757604132.2859497
12.0,12,1757604132.3042588
13.0,13,1757604132.3267276
12.0,12,1757604132.3461514
17.0,17,1757604132.3811545
9.0,9,1757604132.3981214
12.0,12,1757604132.4171813
11.0,11,1757604132.4370077
12.0,12,1757604132.460511
13.0,13,1757604132.4811258
15.0,15,1757604132.5087261
17.0,17,1757604132.5405765
16.0,16,1757604132.5682805
13.0,13,1757604132.589341
17.0,17,1757604132.6220007
16.0,16,1757604132.6495063
20.0,20,1757604132.6851547
15.0,15,1757604132.7670436
17.0,17,1757604132.8047943
18.0,18,1757604132.835975
12.0,12,1757604132.8535905
14.0,14,1757604132.8763435
17.0,17,1757604132.9059677
12.0,12,1757604132.9233778
12.0,12,1757604132.9417698
19.0,19,1757604132.9732177
13.0,13,1757604132.9959981
11.0,11,1757604133.0133996
18.0,18,1757604133.0451443
13.0,13,1757604133.06495
11.0,11,1757604133.0832925
15.0,15,1757604133.1086683
13.0,13,1757604133.1311524
14.0,14,1757604133.1545389
12.0,12,1757604133.1719155
12.0,12,1757604133.1942582
12.0,12,1757604133.213255
13.0,13,1757604133.2389948
18.0,18,1757604133.2676575
18.0,18,1757604133.3017802
13.0,13,1757604133.3218114
15.0,15,1757604133.3466094
14.0,14,1757604133.3728175
13.0,13,1757604133.3989673
13.0,13,1757604133.4187071
17.0,17,1757604133.45009
17.0,17,1757604133.4772995
16.0,16,1757604133.504829
16.0,16,1757604133.5365815
17.0,17,1757604133.5634136
13.0,13,1757604133.5877972
14.0,14,1757604133.608131
14.0,14,1757604133.6350834
16.0,16,1757604133.6625843
13.0,13,1757604133.687743
10.0,10,1757604133.7062194
17.0,17,1757604133.7313979
16.0,16,1757604133.7602704
15.0,15,1757604133.7842624
12.0,12,1757604133.80168
11.0,11,1757604133.8186126
14.0,14,1757604133.8422506
15.0,15,1757604133.8674998
12.0,12,1757604133.8863187
16.0,16,1757604133.9163165
16.0,16,1757604133.942066
15.0,15,1757604133.966279
15.0,15,1757604133.9910126
14.0,14,1757604134.0140054
10.0,10,1757604134.030148
16.0,16,1757604134.0554872
15.0,15,1757604134.0806956
12.0,12,1757604134.0994654
14.0,14,1757604134.1235788
16.0,16,1757604134.1531413
13.0,13,1757604134.1781359
12.0,12,1757604134.19784
14.0,14,1757604134.2231414
15.0,15,1757604134.2502027
15.0,15,1757604134.2771497
12.0,12,1757604134.2963
18.0,18,1757604134.3307405
11.0,11,1757604134.3498034
13.0,13,1757604134.3737159
17.0,17,1757604134.4027405
15.0,15,1757604134.429926
16.0,16,1757604134.4584005
13.0,13,1757604134.484778
11.0,11,1757604134.5053036
26.0,26,1757604134.55057
15.0,15,1757604134.5755975
17.0,17,1757604134.6053703
18.0,18,1757604134.6332152
21.0,21,1757604134.6709607
29.0,29,1757604134.7158034
15.0,15,1757604134.74174
16.0,16,1757604134.7711725
27.0,27,1757604134.8139527
12.0,12,1757604134.83179
17.0,17,1757604134.862421
16.0,16,1757604134.8883078
19.0,19,1757604134.9212222
14.0,14,1757604134.9450643
22.0,22,1757604134.9790993
17.0,17,1757604135.0105715
16.0,16,1757604135.0427544
21.0,21,1757604135.0789003
25.0,25,1757604135.1243439
17.0,17,1757604135.1533155
19.0,19,1757604135.1886356
15.0,15,1757604135.216208
18.0,18,1757604135.2503235
18.0,18,1757604135.2796898
13.0,13,1757604135.3068075
22.0,22,1757604135.3460608
21.0,21,1757604135.3850338
23.0,23,1757604135.4262404
17.0,17,1757604135.4521904
19.0,19,1757604135.4826596
20.0,20,1757604135.5146883
16.0,16,1757604135.5394957
28.0,28,1757604135.5951762
17.0,17,1757604135.6296036
26.0,26,1757604135.6791961
22.0,22,1757604135.713605
26.0,26,1757604135.7589378
16.0,16,1757604135.7836354
15.0,15,1757604135.8075955
20.0,20,1757604135.8391016
22.0,22,1757604135.881075
19.0,19,1757604135.916597
26.0,26,1757604135.9612815
22.0,22,1757604135.9995775
30.0,30,1757604136.0538738
24.0,24,1757604136.09641
23.0,23,1757604136.137758
25.0,25,1757604136.1824694
24.0,24,1757604136.2244368
24.0,24,1757604136.2717726
25.0,25,1757604136.315513
30.0,30,1757604136.363744
20.0,20,1757604136.3958035
20.0,20,1757604136.428307
20.0,20,1757604136.4628503
29.0,29,1757604136.5105548
23.0,23,1757604136.5498984
19.0,19,1757604136.5772388
28.0,28,1757604136.6235945
23.0,23,1757604136.6626182
27.0,27,1757604136.7044768
15.0,15,1757604136.7286434
24.0,24,1757604136.7719672
34.0,34,1757604136.8325498
20.0,20,1757604136.8673098
24.0,24,1757604136.904675
23.0,23,1757604136.9466667
31.0,31,1757604137.0010414
22.0,22,1757604137.0437477
20.0,20,1757604137.0821514
33.0,33,1757604137.135934
91.0,91,1757604137.285253
106.0,106,1757604137.465852
47.0,47,1757604137.5413582
55.0,55,1757604137.6380024
27.0,27,1757604137.6835883
103.0,103,1757604137.8681374
23.0,23,1757604137.9116476
25.0,25,1757604137.9645991
99.0,99,1757604138.1351004
24.0,24,1757604138.1764047
116.0,116,1757604138.3673718
20.0,20,1757604138.3999443
19.0,19,1757604138.4322095
111.0,111,1757604138.6284502
104.0,104,1757604138.8154452
113.0,113,1757604139.0054526
30.0,30,1757604139.0542383
139.0,139,1757604139.2927542
156.0,156,1757604139.5723283
30.0,30,1757604139.6315498
16.0,16,1757604139.660303
27.0,27,1757604139.7071931
23.0,23,1757604139.7483509
144.0,144,1757604139.9880114
162.0,162,1757604140.2682207
134.0,134,1757604140.5149171
148.0,148,1757604140.7861779
20.0,20,1757604140.821625
14.0,14,1757604140.842125
209.0,209,1757604141.1986752
21.0,21,1757604141.2327898
208.0,208,1757604141.5930321
212.0,212,1757604141.9412904
188.0,188,1757604142.2559912
204.0,204,1757604142.5966532
161.0,161,1757604142.8672795
126.0,126,1757604143.080659
141.0,141,1757604143.3143868
140.0,140,1757604143.5447762
138.0,138,1757604143.776042
120.0,120,1757604143.982992
151.0,151,1757604144.2372215
130.0,130,1757604144.4571853
123.0,123,1757604144.6636631
