reward,length,timestamp
21.0,21,1757493578.089862
13.0,13,1757493578.0954146
12.0,12,1757493578.100288
24.0,24,1757493578.1125715
20.0,20,1757493578.1208708
15.0,15,1757493578.1266873
9.0,9,1757493578.1301255
19.0,19,1757493578.1375942
68.0,68,1757493578.1645455
18.0,18,1757493578.1719818
41.0,41,1757493578.1878066
17.0,17,1757493578.195362
14.0,14,1757493578.2006714
17.0,17,1757493578.2072453
17.0,17,1757493578.213157
15.0,15,1757493578.2190208
14.0,14,1757493578.2257836
17.0,17,1757493578.2327569
27.0,27,1757493578.2453282
14.0,14,1757493578.250832
59.0,59,1757493578.2737951
17.0,17,1757493578.280313
12.0,12,1757493578.2851043
48.0,48,1757493578.3046644
31.0,31,1757493578.3156037
27.0,27,1757493578.3254223
17.0,17,1757493578.3318853
16.0,16,1757493578.3382878
31.0,31,1757493578.3513188
20.0,20,1757493578.3615923
10.0,10,1757493578.3656123
9.0,9,1757493578.3691366
32.0,32,1757493578.3815355
12.0,12,1757493578.3859742
30.0,30,1757493578.398263
19.0,19,1757493578.4057813
17.0,17,1757493578.4134724
11.0,11,1757493578.4178038
15.0,15,1757493578.423851
12.0,12,1757493578.4287148
21.0,21,1757493578.4387023
40.0,40,1757493578.4623296
28.0,28,1757493578.473569
19.0,19,1757493578.4810064
15.0,15,1757493578.4871545
21.0,21,1757493578.4949431
17.0,17,1757493578.5012395
37.0,37,1757493578.514758
14.0,14,1757493578.5198255
16.0,16,1757493578.5274873
18.0,18,1757493578.535594
51.0,51,1757493578.5557158
39.0,39,1757493578.5730374
21.0,21,1757493578.5807445
22.0,22,1757493578.5885394
46.0,46,1757493578.6057525
28.0,28,1757493578.6174028
24.0,24,1757493578.6270256
24.0,24,1757493578.6359267
23.0,23,1757493578.6443932
20.0,20,1757493578.6515017
37.0,37,1757493578.666124
11.0,11,1757493578.6705933
13.0,13,1757493578.675536
11.0,11,1757493578.6795356
18.0,18,1757493578.6862888
12.0,12,1757493578.6919627
16.0,16,1757493578.698794
34.0,34,1757493578.71142
11.0,11,1757493578.7157097
20.0,20,1757493578.7261183
37.0,37,1757493578.7414734
48.0,48,1757493578.760419
27.0,27,1757493578.771015
23.0,23,1757493578.780398
29.0,29,1757493578.7915869
15.0,15,1757493578.7975516
24.0,24,1757493578.8077645
29.0,29,1757493578.8183858
23.0,23,1757493578.8280737
15.0,15,1757493578.8337312
47.0,47,1757493578.851295
15.0,15,1757493578.8570435
15.0,15,1757493578.863045
23.0,23,1757493578.8711317
32.0,32,1757493578.885207
12.0,12,1757493578.8905592
29.0,29,1757493578.9021306
27.0,27,1757493580.4767957
40.0,40,1757493580.4923108
16.0,16,1757493580.4989784
29.0,29,1757493580.509763
13.0,13,1757493580.5146875
53.0,53,1757493580.5348518
45.0,45,1757493580.554379
26.0,26,1757493580.5650704
20.0,20,1757493580.5733082
24.0,24,1757493580.5833337
18.0,18,1757493580.591034
54.0,54,1757493580.6120782
16.0,16,1757493580.6184306
36.0,36,1757493580.6330945
10.0,10,1757493580.6369479
21.0,21,1757493580.6454732
64.0,64,1757493580.6719494
117.0,117,1757493580.717222
19.0,19,1757493580.7251606
24.0,24,1757493580.7346797
30.0,30,1757493580.746358
14.0,14,1757493580.7523282
28.0,28,1757493580.7645035
29.0,29,1757493580.7763445
16.0,16,1757493580.7827337
20.0,20,1757493580.7900379
13.0,13,1757493580.7950685
12.0,12,1757493580.7994957
19.0,19,1757493580.8069282
23.0,23,1757493580.8158996
44.0,44,1757493580.833754
33.0,33,1757493580.848442
25.0,25,1757493580.8582323
12.0,12,1757493580.8633285
66.0,66,1757493580.8910022
33.0,33,1757493580.904629
31.0,31,1757493580.9160612
19.0,19,1757493580.9233863
59.0,59,1757493580.9484196
22.0,22,1757493580.9565444
16.0,16,1757493580.9623623
40.0,40,1757493580.9795492
16.0,16,1757493580.986484
22.0,22,1757493580.9947472
27.0,27,1757493581.005129
28.0,28,1757493581.0157335
33.0,33,1757493581.0288334
17.0,17,1757493581.0353787
13.0,13,1757493581.0406158
42.0,42,1757493581.0591342
27.0,27,1757493581.0715382
27.0,27,1757493581.0816598
26.0,26,1757493581.0914679
42.0,42,1757493581.1080363
28.0,28,1757493581.1184611
26.0,26,1757493581.128835
11.0,11,1757493581.133467
16.0,16,1757493581.1407976
32.0,32,1757493581.154305
14.0,14,1757493581.1599114
13.0,13,1757493581.1656802
