episode,frame_idx,reward,actor_loss,critic_loss
1,200,-840.3249304092777,15.235705375671387,8.530640602111816
2,400,-1071.3736460082655,17.54253387451172,7.320150375366211
3,600,-1299.3371454557741,49.54008865356445,21.485679626464844
4,800,-1285.2242252383414,76.84717559814453,39.107852935791016
5,1000,-1493.3379423340346,198.213134765625,71.25777435302734
6,1200,-1568.9009287156694,131.95252990722656,77.42529296875
7,1400,-1603.652364048624,200.64505004882812,77.01463317871094
8,1600,-1468.436745690636,130.89083862304688,77.34636688232422
9,1800,-1526.3547956690436,136.95928955078125,75.60897827148438
10,2000,-1619.8445132601175,186.5588836669922,85.28131103515625
11,2200,-1620.0603547805097,268.0367431640625,81.14649200439453
12,2400,-1515.7779431913807,175.86080932617188,79.81167602539062
13,2600,-1602.8640225762165,135.25245666503906,79.00054168701172
14,2800,-1650.9493373183095,343.73309326171875,84.20547485351562
15,3000,-1639.3072843769564,130.79397583007812,84.53585815429688
16,3200,-1657.623632790741,124.73078155517578,79.57701873779297
17,3400,-1662.8098170070798,137.710205078125,84.67167663574219
18,3600,-1647.6789798167667,142.14683532714844,80.73947143554688
19,3800,-1633.4384311163494,138.01573181152344,81.6318588256836
20,4000,-1625.1562364142737,161.1560821533203,84.56541442871094
21,4200,-1650.9922748629167,195.3207550048828,82.39448547363281
22,4400,-1663.2882585035481,136.90432739257812,84.28288269042969
23,4600,-1623.3759486415527,129.70828247070312,85.06350708007812
24,4800,-1671.779992438201,125.89096069335938,84.19586181640625
25,5000,-1671.2607804785202,146.4258575439453,83.12688446044922
26,5200,-1624.7414820327322,136.8115692138672,84.39131164550781
27,5400,-1642.6642785701483,201.2412872314453,84.14940643310547
28,5600,-1703.8056018624256,119.05762481689453,80.33002471923828
29,5800,-1689.029554177673,138.8566436767578,83.4485092163086
30,6000,-1685.2900158310338,149.51637268066406,82.80508422851562
31,6200,-1670.0740124553793,176.3770751953125,82.65916442871094
32,6400,-1672.4053723647235,173.33050537109375,82.8564682006836
33,6600,-1684.466025742684,124.3460693359375,81.25190734863281
34,6800,-1661.1131208930412,137.0319366455078,80.41618347167969
35,7000,-1645.8767833264803,160.38128662109375,81.38215637207031
36,7200,-1684.4027424635551,120.91101837158203,84.7177505493164
37,7400,-1639.081275607519,117.4239501953125,82.1618881225586
38,7600,-1653.550049208621,150.2832489013672,83.28922271728516
39,7800,-1644.5527071555155,266.0057067871094,80.46746063232422
40,8000,-1627.7308472505533,143.3679656982422,82.20849609375
41,8200,-1673.6548018871483,115.70539093017578,82.37207794189453
42,8400,-1652.875604031779,151.63235473632812,79.6271743774414
43,8600,-1673.8538649579068,294.5942077636719,84.71389770507812
44,8800,-1681.6431024556812,150.7879180908203,80.70823669433594
45,9000,-1643.2337494444869,171.3798065185547,80.30545043945312
46,9200,-1623.713597132701,125.64400482177734,83.2377700805664
47,9400,-1611.0529237355674,162.16517639160156,80.87687683105469
48,9600,-1648.2724057029436,284.6677551269531,79.46479797363281
49,9800,-1644.184655198768,123.90509796142578,80.84175109863281
50,10000,-1502.7070830019038,128.98362731933594,77.49333190917969
51,10200,-1536.71153091107,122.30390167236328,78.90206909179688
52,10400,-1565.9506009925676,146.1824188232422,81.34077453613281
53,10600,-1550.2328672782555,138.5943603515625,77.0789794921875
54,10800,-1518.8893047386885,109.73604583740234,79.78539276123047
55,11000,-1495.1135748669415,112.14025115966797,76.79378509521484
56,11200,-1545.6403916290133,169.57437133789062,74.5101318359375
57,11400,-1472.3230183485769,162.8136444091797,74.53573608398438
58,11600,-1256.8975592374181,169.5447998046875,67.91986083984375
59,11800,-1340.336739547444,107.87384796142578,77.40470123291016
60,12000,-1200.710141368814,89.6634521484375,72.81908416748047
61,12200,-916.132791113643,55.61941909790039,23.473552703857422
62,12400,-1242.542421598089,87.98541259765625,67.27246856689453
63,12600,-1254.513740555578,118.38467407226562,68.54378509521484
64,12800,-1264.9992404753195,87.35861206054688,70.87979125976562
65,13000,-1108.2358908646402,98.67045593261719,64.11856079101562
66,13200,-1089.2783429103395,81.7367935180664,69.67253875732422
67,13400,-1270.444641530527,138.69021606445312,68.60057067871094
68,13600,-879.6927698059126,195.84457397460938,59.42583084106445
69,13800,-1265.2965974626484,99.1622085571289,69.00153350830078
70,14000,-1079.8156979912574,114.09762573242188,50.13035202026367
71,14200,-1249.0760330789194,96.50902557373047,67.20704650878906
72,14400,-1204.302115309391,69.12287139892578,67.04175567626953
73,14600,-1010.3540513975036,112.4122543334961,66.98004150390625
74,14800,-1212.415286808065,63.045291900634766,40.328521728515625
75,15000,-1321.0297236928773,99.517333984375,66.15814971923828
76,15200,-1249.624430892491,144.80372619628906,68.40663146972656
77,15400,-1219.6784365377205,88.9834213256836,71.92993927001953
78,15600,-1048.9174835711524,58.1009407043457,56.95941162109375
79,15800,-1164.7431668751594,73.87553405761719,69.17332458496094
80,16000,-969.2893268780031,65.50216674804688,49.69021224975586
